no,category,addr1,addr2,addr3,name,menu,x_code,y_code,food_category1,food_category2,
602,맛녀석,경기,파주시,경기 파주시 탄현면 헤이리마을길 59-138,칼라디소토,커피&디저트,126.6951827,37.79151703, 카페,-,
603,맛녀석,경기,파주시,경기 파주시 광탄면 기산로186번길 8,출렁다리 쌈밥,쌈밥,126.91791,37.77541584, 한식 , 쌈밥,
604,맛녀석,서울,성동구,서울 성동구 연무장길 109,오스테리아 쟌니,뇨끼,127.0612374,37.54079124, 양식 , 이탈리안,
605,맛녀석,서울,서초구,서울 서초구 강남대로101안길 18-1,멘야하나비 신사점,마제소바,127.017596,37.5162481, 일식 , 일본식라면,
606,맛녀석,경기,가평군,경기 가평군 상면 수목원로 16,온정리 닭갈비 금강막국수,숯불닭갈비,127.3714266,37.77225889, 한식 ," 육류,고기 ",
607,맛녀석,경기,가평군,경기 가평군 청평면 안대성길 21-42,율림동산,김치찌개,127.3774747,37.69665499, 한식,-,
608,맛녀석,서울,영등포구,서울 양천구 신정중앙로 98,족발신선생,화덕구이족발,126.862634,37.52627157, 한식 ," 육류,고기 ", 족발신선생
609,맛녀석,인천,중구,인천 중구 우현로 14,선미정,우족탕,126.6265031,37.46885722, 한식 , 곰탕,
610,맛녀석,경북,안동시,경북 안동시 번영길 10,안동신세계찜닭,안동찜닭,128.7275867,36.56549927, 한식 ," 육류,고기 ",
611,맛녀석,경북,안동시,경북 안동시 무주무4길 29-10,무주무손국수,안동국시,128.6922599,36.5403473, 한식 , 국수,
612,맛녀석,서울,성북구,서울 성북구 종암로38길 16,빙수야,딸기빙수&떡볶이&튀김,127.0323443,37.60631222, 분식 , 떡볶이,
613,맛녀석,서울,용산구,서울 용산구 후암로 1-1,일미집,감자탕&라면,126.9782689,37.54614264, 한식 , 감자탕,
614,맛녀석,서울,영등포구,서울 영등포구 여의대로 24,사대부집 곳간,전복갈비찜&한식뷔페,126.9199992,37.52235995, 한식,-,
615,맛녀석,서울,서초구,-,더리버,양식 코스(한강뷰),126.9847032,37.50708431, 카페,-,
616,맛녀석,서울,종로구,서울 종로구 비봉2길 88,능금산장,오리주물럭&해물부추전,126.9617799,37.6159114, 한식,-,
617,맛녀석,인천,연수구,인천 연수구 컨벤시아대로 100,수블라키아,그리스음식,126.6473624,37.39451573, 양식 , 이탈리안,
618,맛녀석,인천,연수구,인천 연수구 청량로 235,할머니즉석떡볶이,즉석떡볶이,126.6532766,37.42758968, 분식 , 떡볶이,
619,맛녀석,인천,중구,인천 중구 개항로 34,크레플,크레이프&크레페,126.626403,37.4717203, 카페 , 테마카페 ,
620,맛녀석,인천,부평구,인천 부평구 원적로 280,모모주먹밥,주먹밥&돈까스&라면,126.6973043,37.5045666, 분식,-,
621,맛녀석,인천,부평구,인천 부평구 부평문화로 77,갸또드레브,프랑스 디저트,126.724908,37.4943086, 카페,-,
622,맛녀석,인천,중구,인천 중구 참외전로158번길 14,메콩사롱,팟타이&나시고랭&쌀국수,126.6332055,37.47230204, 아시아음식 , 동남아음식,
